STORE INVENTORY — CURRENT STOCK | As of 23 Feb 2026 16:12,,,
SR NO,Item Code,Item Name,Unit
145,HM145,gogels,PCS
146,HM146,plug box,PCS
147,HM147,duble seel rubber 4mm,METER
148,HM148,spaner kit,PCS
149,HM149,hamer,PCS
150,HM150,hydralic oil,LTR
151,HM151,patra,PCS
152,HM152,iron cutter disc,PCS
153,HM153,glinder paid wheel,PCS
154,HM154,fingure,PKT
155,HM155,Cloth Gloves,SET
156,HM156,Belcha,NOS
157,HM157,Wire BUNDLE,PCS
158,HM158,Grees,KG
159,HM159,Admixture CHEMICAL,BRL'
160,HM160,Reileas Chemicale,BRL(200LTR)
161,HM161,Acid Gloves,SET
162,HM162,Ecodrive Belt,PCS
163,HM163,Fawda,PCS
164,HM164,pvc farsi white,PCS
165,HM165,handle patra,PCS
166,HM166,allen key,PCS
167,HM167,write angle,PCS
168,HM168,wire tape,PKT
169,HM169,grey moja,PAIR
170,HM170,rassi/plastic sulti,KGS
171,HM171,dhaga,BOX
172,HM172,NYLON BLOCK PATTI SMALL,NOS
173,HM173,balti small 8 NO,PCS
174,HM174,D A GREY,PCS
175,HM175,emery paper 80,PCS
176,HM176,sand paper 600,PCS
177,HM177,sterar 8mm,PCS
178,HM178,sterar 10mm,PCS
179,HM179,p v,PCS
180,HM180,steel putty blade 50*150mm,PCS
181,HM181,"steel putty blade 8""",PCS
182,HM182,"steel putty blade 5/6""",PCS
183,HM183,BALTI MID,PCS
184,HM184,bucket 12no,PCS
185,HM185,MEASURING TAPE,NOS
186,HM186,sand paper 180,PCS
187,HM186,bear disc 80,PCS
188,HM187,bear disc 120,PCS
189,HM188,welcro paper 600 grit,PCS
190,HM189,WELDING ROD,PCS
191,HM190,buffing machine,PCS
192,HM191,c clamp big,PCS
193,HM192,RED BRICK PIGMENT,PCS
194,HM193,bear disc 80,PCS
195,HM194,bear disc 120,PCS
196,HM195,welcro paper 80,PCS
197,HM196,welcro paper 120,PCS
198,HM197,welcro paper 180,PCS
199,HM198,welcro paper 220,PCS
200,HM199,welcro paper 320,PCS
201,HM200,welcro paper 400,PCS
202,HM201,welcro paper 600,PCS
203,HM202,sending machine pad,PCS
204,HM203,bear disc 36,PCS
205,HM204,handle,PCS
206,HM205,Pliers (Pakkad),PCS
207,HM206,Round File,PCS
208,HM207,Flat File,PCS
209,HM208,Thundor File,PCS
210,HM209,FAVDE HANDLE,PCS
211,HM210,BROWAN Pigment,PCS
212,HM211,TERRA COATA Pigment,PCS
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
